product_id,Price (After Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,neg_count,neu_count,pos_count
276923143,142800,62,5.0,2,15,0,0,2
276655583,29400,183,5.0,9,2,0,0,2
273355948,92000,161,5.0,21,16,0,1,6
270466770,64000,194,5.0,286,9,3,8,83
243223577,169000,1702,4.8,72,15,2,0,27
199547421,94300,837,4.6,44,37,5,1,7
196932335,84000,911,4.8,74,30,5,1,13
195623935,10000,64,5.0,2,33,0,1,0
184629090,73800,485,5.0,47,25,1,1,20
170706992,117000,650,5.0,171,3,4,5,60
163902730,76500,102,5.0,10,55,0,0,3
161383835,74200,303,5.0,11,25,0,0,4
150838230,130300,998,5.0,85,27,2,1,23
111285054,66220,2742,5.0,245,23,6,10,88
90866363,39000,507,5.0,61,22,1,2,13
74460137,83160,3557,4.8,408,23,12,18,114
58971672,106260,1581,5.0,214,23,10,7,68
47142043,99000,1953,5.0,152,24,3,7,50
22881835,130100,881,4.7,107,9,4,9,18
21435658,75600,458,4.7,33,30,3,1,17
10371573,113000,401,4.5,10,27,2,2,14
3717993,62700,2239,5.0,102,24,4,0,26
1443167,77300,9391,4.7,274,22,16,17,85
279160732,75000,12,5.0,3,0,0,0,1
278860289,160000,185,5.0,8,20,0,1,2
278843762,152000,36,5.0,1,34,0,0,1
278842696,148900,54,5.0,3,29,0,0,2
278619827,129500,46,4.8,6,30,0,0,4
278468121,240000,410,5.0,19,4,0,0,2
278016081,137830,85,4.5,9,23,0,0,1
276948759,355000,511,5.0,63,35,1,1,19
275625701,471200,384,5.0,189,21,5,8,56
275524304,153900,76,4.2,5,23,0,1,1
274940704,202200,431,4.5,17,27,2,0,2
273356637,84900,667,5.0,68,22,2,4,26
208198125,412000,325,4.7,39,31,3,2,6
199030589,102500,354,5.0,21,39,1,1,4
188534650,112500,154,4.7,14,33,2,1,2
185909477,52360,1013,5.0,77,23,1,1,15
185873053,122800,464,4.8,37,21,1,1,8
185242029,110600,385,5.0,51,30,2,1,21
179372235,899000,172,5.0,31,25,3,1,10
176560456,63000,289,4.8,21,26,1,1,4
158563273,289000,177,5.0,20,0,0,1,11
125528587,111000,1386,4.8,242,30,9,8,69
121185870,126000,1703,5.0,274,30,11,6,77
100376369,143000,4180,4.6,878,32,70,31,160
91553053,150500,885,5.0,71,30,1,0,11
86267532,71000,1129,4.8,155,25,6,5,42
