ID,Seller ID,Name,Price (After Discount),Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,URL
276562878,1,Sách Bông hồng vàng & Bình minh mưa,153000,195000,91,5.0,8,22,https://tiki.vn/sach-bong-hong-vang-binh-minh-mua-p276562878.html?spid=276562879
276074174,1,Bộ sách Hỏi đáp lịch sử Việt Nam (Từ khởi thủy đến nay) Combo 10 cuốn và lẻ,104000,135000,74,5.0,7,23,https://tiki.vn/bo-sach-hoi-dap-lich-su-viet-nam-tu-khoi-thuy-den-nay-p276074174.html?spid=276074736
275962493,1,Cánh cửa mở rộng. Núi thần Tập 1+2,402000,550000,220,4.8,31,27,https://tiki.vn/sach-canh-cua-mo-rong-nui-than-tap-1-2-p275962493.html?spid=275965229
275948805,1,Sách Quản Trị Dự Án,211000,285000,169,4.8,8,26,https://tiki.vn/sach-quan-tri-du-an-p275948805.html?spid=275948807
275923492,1,Sách Đứa Trẻ Được Nuôi Trong Chuồng Chó,221760,288000,199,5.0,25,23,https://tiki.vn/sach-dua-tre-duoc-nuoi-trong-chuong-cho-p275923492.html?spid=275923493
275853526,1,Sách Nam Hoa Kinh,89900,139000,126,4.8,12,35,https://tiki.vn/sach-nam-hoa-kinh-p275853526.html?spid=275853527
274136484,1,Dược Sư Tự Sự (Light Novel) - Tập 3,115000,125000,182,4.6,30,8,https://tiki.vn/duoc-su-tu-su-light-novel-p274136484.html?spid=263401196
274028810,229023,Thám Tử Lừng Danh Conan - Tập 102,25000,25000,81,5.0,2,0,https://tiki.vn/tham-tu-lung-danh-conan-tap-102-p274028810.html?spid=274028811
272227226,1,Sách Mỗi Ngày 10 Phút Thì Thầm Với Con- Những Câu Chuyện Thai Giáo Hay Nhất Thế GiớI,103400,145000,171,4.3,7,29,https://tiki.vn/sach-moi-ngay-10-phut-thi-tham-voi-con-nhung-cau-chuyen-thai-giao-hay-nhat-the-gioi-p272227226.html?spid=272227229
263049497,1,Sách Những Nỗi Buồn Cũng Cần Được Yêu Thương - Tô Bình Yên Vẽ Hạnh Phúc 2,106260,138000,907,4.8,72,23,https://tiki.vn/sach-nhung-noi-buon-cung-can-duoc-yeu-thuong-to-binh-yen-ve-hanh-phuc-2-p263049497.html?spid=263049499
262550907,101957,Hơn cả hạnh phúc - Minh triết Phật giáo và chủ nghĩa Khắc kỷ  trong một kỷ nguyên đầy hoài nghi,129000,129000,69,5.0,3,0,https://tiki.vn/hon-ca-hanh-phuc-minh-triet-phat-giao-va-chu-nghia-khac-ky-trong-mot-ky-nguyen-day-hoai-nghi-p262550907.html?spid=262550908
252138287,1,Sách 7 Cảm Xúc Lớn – Để Tâm An Giữa Bộn Bề Bất Ổn,107030,139000,170,5.0,6,23,https://tiki.vn/sach-7-cam-xuc-lon-de-tam-an-giua-bon-be-bat-on-p252138287.html?spid=252138288
215123449,1,Sách Trí tuệ cổ xưa - Tất cả các loại nghiệp,155000,235000,539,4.7,37,34,https://tiki.vn/sach-tri-tue-co-xua-tat-ca-cac-loai-nghiep-p215123449.html?spid=215123450
209605863,1,Sách Gieo mầm nhân cách - YÊU THƯƠNG,23000,32000,60,5.0,2,28,https://tiki.vn/sach-gieo-mam-nhan-cach-yeu-thuong-p209605863.html?spid=209605864
195545504,1,Sách Nhật Ký Trong Tù,62000,80000,500,5.0,54,23,https://tiki.vn/sach-nhat-ky-trong-tu-p195545504.html?spid=195545505
195545270,1,Sách Đời Thừa,32800,42000,184,4.7,16,22,https://tiki.vn/sach-doi-thua-p195545270.html?spid=195545271
191077718,1,Sách Chiêm Tinh Học Ứng Dụng,210000,350000,184,4.8,28,40,https://tiki.vn/sach-chiem-tinh-hoc-ung-dung-p191077718.html?spid=191077719
190707634,1,Sách Chết giữa mùa hè,156000,235000,369,4.7,46,34,https://tiki.vn/sach-chet-giua-mua-he-p190707634.html?spid=190707636
176906754,1,Sách Inspired - Kiến Tạo Sản Phẩm Công Nghệ Chiếm Trọn Trái Tim Người Dùng,227150,295000,953,4.8,76,23,https://tiki.vn/sach-inspired-kien-tao-san-pham-cong-nghe-chiem-tron-trai-tim-nguoi-dung-p176906754.html?spid=176906755
167301575,1,Sách Khí Chất Bao Nhiêu Hạnh Phúc Bấy Nhiêu (Tái Bản 2022),111200,139000,2175,4.7,162,20,https://tiki.vn/sach-khi-chat-bao-nhieu-hanh-phuc-bay-nhieu-tai-ban-2022-p167301575.html?spid=165711007
156824943,1,Sách Mindhunter – Kẻ Săn Suy Nghĩ (Tặng kèm bookmark),111650,145000,1186,5.0,201,23,https://tiki.vn/sach-mindhunter-ke-san-suy-nghi-tang-kem-bookmark-p156824943.html?spid=156824944
155115299,1,Sách Giải Thích Chuyên Đề Thi Vào 10 Chuyên Tiếng Anh,82000,145000,510,5.0,66,43,https://tiki.vn/sach-giai-thich-chuyen-de-thi-vao-10-chuyen-tieng-anh-p155115299.html?spid=155115300
111579995,1,Sách Nghệ Thuật Kiêng Khem Tin Tức - Bí Kíp Sinh Tồn Thời Kỹ Thuật Số,70400,128000,441,5.0,67,45,https://tiki.vn/sach-nghe-thuat-kieng-khem-tin-tuc-bi-kip-sinh-ton-thoi-ky-thuat-so-p111579995.html?spid=111579999
99089541,143529,Kim Vân Kiều (Bìa Giấy Dó Quét Điệp + Giấy Mỹ Thuật Cao Cấp + Tặng Kèm Phụ Bản Tranh),384000,549000,23,4.5,5,30,https://tiki.vn/kim-van-kieu-bia-giay-do-quet-diep-giay-my-thuat-cao-cap-tang-kem-phu-ban-tranh-p99089541.html?spid=99089542
77105703,1,Sách Lão Tử Tinh Hoa (Ts Thu Giang)(Tái Bản),72000,95000,1143,5.0,134,24,https://tiki.vn/sach-lao-tu-tinh-hoa-ts-thu-giang-tai-ban-p77105703.html?spid=77105704
60808684,1,Truyện Thạch Yêu,52200,116000,206,4.8,28,55,https://tiki.vn/truyen-thach-yeu-p60808684.html?spid=60808685
56377195,1,Sách Hiệu Ứng Cánh Bướm (Tái Bản 2020),73700,99000,542,4.1,62,26,https://tiki.vn/sach-hieu-ung-canh-buom-tai-ban-2020-p56377195.html?spid=56377196
49026028,1,Sách Cô Gái Dưới Tầng Hầm,102000,150000,315,4.8,50,32,https://tiki.vn/sach-co-gai-duoi-tang-ham-p49026028.html?spid=49026030
22881852,53660,English Grammar in Use Book w Ans,207100,218000,12769,5.0,2623,5,https://tiki.vn/english-grammar-in-use-book-w-ans-p22881852.html?spid=22881853
10379313,1,Sách Columbus: Bốn Chuyến Hải Hành (1492-1504),220600,289000,2283,4.6,135,24,https://tiki.vn/sach-columbus-bon-chuyen-hai-hanh-1492-1504-p10379313.html?spid=10379314
6010325,1,Sách Dưới Bóng Những Cô Gái Đương Hoa,125300,179000,1104,4.7,74,30,https://tiki.vn/sach-duoi-bong-nhung-co-gai-duong-hoa-p6010325.html?spid=6010327
5154511,1,Sách Bà Nội Găngxtơ (Tái Bản),68600,98000,4984,5.0,551,30,https://tiki.vn/sach-ba-noi-gangxto-tai-ban-p5154511.html?spid=5154513
278669278,1,Sách Nhẹ Nhàng Mà Sống,123000,148000,23,5.0,1,17,https://tiki.vn/sach-nhe-nhang-ma-song-p278669278.html?spid=278669281
278377768,1,One Piece - Tập 108: “Thà Chết Còn Hơn,29400,30000,93,5.0,4,2,https://tiki.vn/one-piece-tap-108-tha-chet-con-hon-p278377768.html?spid=278377781
278110637,1,Sách Biết Để Làm Gì,121000,135000,9,5.0,1,10,https://tiki.vn/sach-biet-de-lam-gi-p278110637.html?spid=278110685
278108564,134516,Tạp chí Kiến Trúc và Đời Sống số 228 (Tháng 6-2025) - Làm nhà: Vai trò của gia chủ,35800,35800,94,5.0,2,0,https://tiki.vn/tap-chi-kien-truc-va-doi-song-so-228-thang-6-2025-lam-nha-vai-tro-cua-gia-chu-p278108564.html?spid=278108565
278089760,1,Sách Những Khối Óc Sáng Chói Của Kay,32000,40000,33,5.0,4,20,https://tiki.vn/sach-nhung-khoi-oc-sang-choi-cua-kay-p278089760.html?spid=278089761
277973805,1,Tiểu Thuyết Doraemon - Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,52200,60000,53,5.0,1,13,https://tiki.vn/tieu-thuyet-doraemon-nobita-va-cuoc-phieu-luu-vao-the-gioi-trong-tranh-p277973805.html?spid=277973806
277907347,1,Sách Hôm nay tôi lại bị ép sống lại (Tập 1),140000,175000,49,4.7,6,20,https://tiki.vn/sach-hom-nay-toi-lai-bi-ep-song-lai-tap-1-p277907347.html?spid=277907356
277770730,1,Sách The Mindful Body - Sức mạnh tâm trí,169400,220000,146,5.0,3,23,https://tiki.vn/sach-the-mindful-body-suc-manh-tam-tri-p277770730.html?spid=277770731
277599507,1,Sách Người đàn ông ấy,118300,169000,7,5.0,2,30,https://tiki.vn/sach-nguoi-dan-ong-ay-p277599507.html?spid=277599508
277526020,1,Sách Tuyển chọn chuyên đề Hình học - Trọng tâm dành cho THCS - Thi vào lớp 10 và 10 chuyên - Nội dung định hướng từ cơ bản đến nâng cao,106000,159000,59,3.0,2,33,https://tiki.vn/sach-tuyen-chon-chuyen-de-hinh-hoc-trong-tam-danh-cho-thcs-thi-vao-lop-10-va-10-chuyen-noi-dung-dinh-huong-tu-co-ban-den-nang-cao-p277526020.html?spid=277526021
277514023,1,"Sách ""52HZ"" Tập 1",151200,189000,96,4.8,17,20,https://tiki.vn/sach-52hz-tap-1-p277514023.html?spid=277514034
277444558,1,Sách OSHO - Đường Vào Thiền,113960,148000,116,1.0,1,23,https://tiki.vn/sach-osho-duong-vao-thien-p277444558.html?spid=277444559
277045721,1,Sách Án Mạng Trong Lớp Học,131100,195000,49,4.7,6,33,https://tiki.vn/sach-an-mang-trong-lop-hoc-p277045721.html?spid=277045722
