Price (Before Discount),Sales Count,Rating Average,Number Reviews,Discount Rate,as_content_label_id_0,as_content_label_id_1,as_content_label_id_2,as_content_label_id_3,as_physical_label_id_0,as_physical_label_id_1,as_physical_label_id_2,as_physical_label_id_3,as_price_label_id_0,as_price_label_id_1,as_price_label_id_2,as_price_label_id_3,as_packaging_label_id_0,as_packaging_label_id_1,as_packaging_label_id_2,as_packaging_label_id_3,as_delivery_label_id_0,as_delivery_label_id_1,as_delivery_label_id_2,as_delivery_label_id_3,as_service_label_id_0,as_service_label_id_1,as_service_label_id_2,as_service_label_id_3
175000,325,5.0,177,33,0.0,2.0,23.0,36.0,6.0,1.0,27.0,27.0,1.0,1.0,4.0,55.0,1.0,0.0,13.0,47.0,0.0,0.0,25.0,36.0,0.0,0.0,3.0,58.0
199000,363,4.7,25,30,1.0,0.0,0.0,11.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,9.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,11.0
199000,1237,5.0,49,25,0.0,0.0,6.0,5.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,10.0
169000,219,5.0,50,29,0.0,1.0,4.0,8.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,11.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,13.0
169000,228,5.0,65,13,0.0,0.0,5.0,15.0,1.0,0.0,8.0,11.0,0.0,0.0,4.0,16.0,1.0,0.0,8.0,11.0,0.0,0.0,9.0,11.0,0.0,0.0,2.0,18.0
125000,4472,5.0,971,33,1.0,7.0,76.0,64.0,7.0,2.0,48.0,91.0,0.0,1.0,7.0,140.0,3.0,2.0,32.0,111.0,3.0,1.0,32.0,112.0,0.0,1.0,5.0,142.0
135000,554,5.0,38,22,0.0,0.0,5.0,11.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,16.0,1.0,0.0,3.0,12.0,0.0,0.0,6.0,10.0,0.0,0.0,1.0,15.0
305000,510,4.7,36,33,1.0,0.0,10.0,7.0,4.0,0.0,5.0,9.0,0.0,1.0,1.0,16.0,0.0,0.0,3.0,15.0,0.0,1.0,3.0,14.0,0.0,0.0,1.0,17.0
149000,3419,4.7,236,32,1.0,3.0,37.0,37.0,12.0,1.0,13.0,52.0,0.0,0.0,3.0,75.0,3.0,0.0,12.0,63.0,2.0,2.0,17.0,57.0,1.0,0.0,2.0,75.0
135000,2628,4.8,161,23,3.0,5.0,20.0,17.0,3.0,1.0,7.0,34.0,0.0,2.0,1.0,42.0,2.0,0.0,7.0,36.0,2.0,0.0,10.0,33.0,1.0,0.0,1.0,43.0
